episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_clean_3obj_s500_20260918_043353_299,s1_clean_3obj_s500,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.64,4.76
s1_clean_3obj_s501_20260918_043400_338,s1_clean_3obj_s501,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.99,4.39
s1_clean_3obj_s502_20260918_043406_874,s1_clean_3obj_s502,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.72,4.51
s1_clean_3obj_s510_20260918_043413_306,s1_clean_3obj_s510,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.81,4.5
s1_clean_3obj_s511_20260918_043419_730,s1_clean_3obj_s511,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.88,4.51
s1_clean_3obj_s512_20260918_043426_392,s1_clean_3obj_s512,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.08,4.45
s1_clean_3obj_s520_20260918_043432_780,s1_clean_3obj_s520,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.17,4.64
s1_clean_3obj_s521_20260918_043439_521,s1_clean_3obj_s521,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.46,4.44
s1_clean_3obj_s522_20260918_043445_842,s1_clean_3obj_s522,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.96,4.57
s1_clean_3obj_s530_20260918_043452_164,s1_clean_3obj_s530,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.11,4.5
s1_clean_3obj_s531_20260918_043458_483,s1_clean_3obj_s531,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.0,4.46
s1_clean_3obj_s532_20260918_043504_758,s1_clean_3obj_s532,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.21,4.66
s1_clean_3obj_s540_20260918_043511_342,s1_clean_3obj_s540,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.88,4.51
s1_clean_3obj_s541_20260918_043517_651,s1_clean_3obj_s541,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.12,4.54
s1_clean_3obj_s542_20260918_043524_286,s1_clean_3obj_s542,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.08,4.44
s1_clean_3obj_s550_20260918_043530_568,s1_clean_3obj_s550,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.84,4.5
s1_clean_3obj_s551_20260918_043537_145,s1_clean_3obj_s551,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.95,4.57
s1_clean_3obj_s552_20260918_043543_470,s1_clean_3obj_s552,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.1,4.42
s1_clean_3obj_s560_20260918_043549_921,s1_clean_3obj_s560,s1_clean,deepseek,False,failed,False,1,3,False,ANOMALOUS_CONTACT,0,1,1,64.48,1.61
s1_clean_3obj_s561_20260918_043553_404,s1_clean_3obj_s561,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.95,4.59
s1_clean_3obj_s562_20260918_043559_945,s1_clean_3obj_s562,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.91,4.5
s1_clean_3obj_s570_20260918_043606_563,s1_clean_3obj_s570,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.14,4.57
s1_clean_3obj_s571_20260918_043613_023,s1_clean_3obj_s571,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.72,4.58
s1_clean_3obj_s572_20260918_043619_593,s1_clean_3obj_s572,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.93,4.56
s1_clean_3obj_s580_20260918_043625_971,s1_clean_3obj_s580,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.7,4.45
s1_clean_3obj_s581_20260918_043632_233,s1_clean_3obj_s581,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.92,4.52
s1_clean_3obj_s582_20260918_043638_616,s1_clean_3obj_s582,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.07,4.54
s1_clean_3obj_s590_20260918_043644_960,s1_clean_3obj_s590,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.53,4.52
s1_clean_3obj_s591_20260918_043651_197,s1_clean_3obj_s591,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,193.06,4.52
s1_clean_3obj_s592_20260918_043657_765,s1_clean_3obj_s592,s1_clean,deepseek,False,success,True,3,3,True,,0,1,1,192.78,4.55
s1_clean_4obj_s500_20260918_043704_215,s1_clean_4obj_s500,s1_clean,deepseek,False,success,True,4,4,True,,0,1,1,257.0,6.69
s1_clean_4obj_s501_20260918_043713_006,s1_clean_4obj_s501,s1_clean,deepseek,False,success,True,4,4,True,,0,1,1,257.2,6.48
s1_clean_4obj_s502_20260918_043721_384,s1_clean_4obj_s502,s1_clean,deepseek,False,success,True,4,4,True,,0,1,1,256.65,6.62
s1_clean_4obj_s510_20260918_043730_027,s1_clean_4obj_s510,s1_clean,deepseek,False,success,True,4,4,True,,0,1,1,256.78,6.53
s1_clean_4obj_s511_20260918_043738_866,s1_clean_4obj_s511,s1_clean,deepseek,False,success,True,4,4,True,,0,1,1,256.69,8.51
s1_clean_4obj_s512_20260918_043749_702,s1_clean_4obj_s512,s1_clean,deepseek,False,failed,False,3,4,False,GRASP_MISS,0,2,2,318.37,9.74
s1_clean_4obj_s520_20260918_043801_593,s1_clean_4obj_s520,s1_clean,deepseek,False,failed,False,3,4,False,IK_OR_PATH_UNREACHABLE,0,1,1,254.31,8.35
s1_clean_4obj_s521_20260918_043812_395,s1_clean_4obj_s521,s1_clean,deepseek,False,success,True,4,4,True,,0,1,1,256.6,6.63
s1_clean_4obj_s522_20260918_043821_347,s1_clean_4obj_s522,s1_clean,deepseek,False,success,True,4,4,True,,0,1,1,256.97,6.48
s1_clean_4obj_s530_20260918_043829_900,s1_clean_4obj_s530,s1_clean,deepseek,False,success,True,4,4,True,,0,1,1,256.91,6.76
