episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_clean_3obj_s500_20260918_051112_222,s1_clean_3obj_s500,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.64,4.71
s1_clean_3obj_s501_20260918_051119_051,s1_clean_3obj_s501,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.99,4.33
s1_clean_3obj_s502_20260918_051125_509,s1_clean_3obj_s502,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.72,4.5
s1_clean_3obj_s510_20260918_051131_706,s1_clean_3obj_s510,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.81,4.47
s1_clean_3obj_s511_20260918_051137_965,s1_clean_3obj_s511,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.88,4.47
s1_clean_3obj_s512_20260918_051144_153,s1_clean_3obj_s512,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.08,4.46
s1_clean_3obj_s520_20260918_051150_335,s1_clean_3obj_s520,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.17,4.62
s1_clean_3obj_s521_20260918_051157_016,s1_clean_3obj_s521,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.46,4.42
s1_clean_3obj_s522_20260918_051203_437,s1_clean_3obj_s522,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.96,4.56
s1_clean_3obj_s530_20260918_051209_877,s1_clean_3obj_s530,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.11,4.55
s1_clean_3obj_s531_20260918_051216_351,s1_clean_3obj_s531,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.0,4.47
s1_clean_3obj_s532_20260918_051222_753,s1_clean_3obj_s532,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.21,4.65
s1_clean_3obj_s540_20260918_051229_271,s1_clean_3obj_s540,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.88,4.49
s1_clean_3obj_s541_20260918_051235_558,s1_clean_3obj_s541,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.12,4.5
s1_clean_3obj_s542_20260918_051241_760,s1_clean_3obj_s542,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.08,4.42
s1_clean_3obj_s550_20260918_051247_953,s1_clean_3obj_s550,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.84,4.5
s1_clean_3obj_s551_20260918_051254_588,s1_clean_3obj_s551,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.95,4.58
s1_clean_3obj_s552_20260918_051300_812,s1_clean_3obj_s552,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.1,4.44
s1_clean_3obj_s560_20260918_051307_542,s1_clean_3obj_s560,s1_clean,deepseek,True,failed,False,0,3,False,GRASP_MISS,1,2,2,188.26,5.71
s1_clean_3obj_s561_20260918_051315_040,s1_clean_3obj_s561,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.95,4.56
s1_clean_3obj_s562_20260918_051321_816,s1_clean_3obj_s562,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.91,4.51
s1_clean_3obj_s570_20260918_051328_063,s1_clean_3obj_s570,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.14,4.53
s1_clean_3obj_s571_20260918_051334_857,s1_clean_3obj_s571,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.72,4.57
s1_clean_3obj_s572_20260918_051341_215,s1_clean_3obj_s572,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.93,4.55
s1_clean_3obj_s580_20260918_051347_591,s1_clean_3obj_s580,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.7,4.46
s1_clean_3obj_s581_20260918_051353_971,s1_clean_3obj_s581,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.92,4.57
s1_clean_3obj_s582_20260918_051400_441,s1_clean_3obj_s582,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.07,4.53
s1_clean_3obj_s590_20260918_051406_800,s1_clean_3obj_s590,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.53,4.5
s1_clean_3obj_s591_20260918_051413_289,s1_clean_3obj_s591,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,193.06,4.42
s1_clean_3obj_s592_20260918_051419_592,s1_clean_3obj_s592,s1_clean,deepseek,True,success,True,3,3,True,,0,1,1,192.78,4.53
s1_clean_4obj_s500_20260918_051425_900,s1_clean_4obj_s500,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.0,6.68
s1_clean_4obj_s501_20260918_051435_033,s1_clean_4obj_s501,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.2,6.47
s1_clean_4obj_s502_20260918_051443_600,s1_clean_4obj_s502,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.65,6.51
s1_clean_4obj_s510_20260918_051452_196,s1_clean_4obj_s510,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.78,6.46
s1_clean_4obj_s511_20260918_051500_962,s1_clean_4obj_s511,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.69,8.47
s1_clean_4obj_s512_20260918_051511_459,s1_clean_4obj_s512,s1_clean,deepseek,True,failed,False,3,4,False,GRASP_MISS,1,2,2,380.42,11.34
s1_clean_4obj_s520_20260918_051524_808,s1_clean_4obj_s520,s1_clean,deepseek,True,failed,False,3,4,False,IK_OR_PATH_UNREACHABLE,0,3,3,375.81,13.51
s1_clean_4obj_s521_20260918_051540_664,s1_clean_4obj_s521,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.6,6.6
s1_clean_4obj_s522_20260918_051549_297,s1_clean_4obj_s522,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.97,6.47
s1_clean_4obj_s530_20260918_051557_783,s1_clean_4obj_s530,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.91,6.68
s1_clean_4obj_s531_20260918_051606_494,s1_clean_4obj_s531,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.98,6.32
s1_clean_4obj_s532_20260918_051615_091,s1_clean_4obj_s532,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.11,8.66
s1_clean_4obj_s540_20260918_051625_822,s1_clean_4obj_s540,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.85,6.48
s1_clean_4obj_s541_20260918_051634_691,s1_clean_4obj_s541,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.05,6.5
s1_clean_4obj_s542_20260918_051643_477,s1_clean_4obj_s542,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.94,6.61
s1_clean_4obj_s550_20260918_051652_119,s1_clean_4obj_s550,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.92,6.55
s1_clean_4obj_s551_20260918_051700_609,s1_clean_4obj_s551,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.07,6.76
s1_clean_4obj_s552_20260918_051709_336,s1_clean_4obj_s552,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.27,6.52
s1_clean_4obj_s560_20260918_051717_866,s1_clean_4obj_s560,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.51,6.75
s1_clean_4obj_s561_20260918_051726_838,s1_clean_4obj_s561,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.0,6.56
s1_clean_4obj_s562_20260918_051735_614,s1_clean_4obj_s562,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.63,6.45
s1_clean_4obj_s570_20260918_051744_095,s1_clean_4obj_s570,s1_clean,deepseek,True,failed,False,3,4,False,IK_OR_PATH_UNREACHABLE,0,3,3,380.25,12.41
s1_clean_4obj_s571_20260918_051758_554,s1_clean_4obj_s571,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.73,6.45
s1_clean_4obj_s572_20260918_051807_014,s1_clean_4obj_s572,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.85,6.72
s1_clean_4obj_s580_20260918_051815_804,s1_clean_4obj_s580,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.83,6.34
s1_clean_4obj_s581_20260918_051824_183,s1_clean_4obj_s581,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.72,6.78
s1_clean_4obj_s582_20260918_051833_058,s1_clean_4obj_s582,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.14,6.47
s1_clean_4obj_s590_20260918_051841_386,s1_clean_4obj_s590,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.48,6.72
s1_clean_4obj_s591_20260918_051850_419,s1_clean_4obj_s591,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,257.13,6.47
s1_clean_4obj_s592_20260918_051858_814,s1_clean_4obj_s592,s1_clean,deepseek,True,success,True,4,4,True,,0,1,1,256.57,6.47
s1_clean_5obj_s500_20260918_051907_309,s1_clean_5obj_s500,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,321.06,9.08
s1_clean_5obj_s501_20260918_051918_609,s1_clean_5obj_s501,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.97,8.66
s1_clean_5obj_s502_20260918_051929_613,s1_clean_5obj_s502,s1_clean,deepseek,True,failed,False,4,5,False,INVALID_PLAN,0,2,2,317.65,10.34
s1_clean_5obj_s510_20260918_051942_229,s1_clean_5obj_s510,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.62,8.61
s1_clean_5obj_s511_20260918_051953_204,s1_clean_5obj_s511,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.62,11.23
s1_clean_5obj_s512_20260918_052006_541,s1_clean_5obj_s512,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.9,8.77
s1_clean_5obj_s520_20260918_052017_634,s1_clean_5obj_s520,s1_clean,deepseek,True,failed,False,3,5,False,IK_OR_PATH_UNREACHABLE,0,3,3,375.7,15.74
s1_clean_5obj_s521_20260918_052035_517,s1_clean_5obj_s521,s1_clean,deepseek,True,failed,False,4,5,False,INVALID_PLAN,0,2,2,317.71,10.41
s1_clean_5obj_s522_20260918_052048_163,s1_clean_5obj_s522,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.83,8.85
s1_clean_5obj_s530_20260918_052059_412,s1_clean_5obj_s530,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.86,8.95
s1_clean_5obj_s531_20260918_052110_707,s1_clean_5obj_s531,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.82,8.94
s1_clean_5obj_s532_20260918_052122_160,s1_clean_5obj_s532,s1_clean,deepseek,True,failed,False,3,5,False,IK_OR_PATH_UNREACHABLE,0,3,3,375.78,14.75
s1_clean_5obj_s540_20260918_052139_212,s1_clean_5obj_s540,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.92,8.61
s1_clean_5obj_s541_20260918_052149_921,s1_clean_5obj_s541,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.68,9.02
s1_clean_5obj_s542_20260918_052201_477,s1_clean_5obj_s542,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.88,8.95
s1_clean_5obj_s550_20260918_052212_586,s1_clean_5obj_s550,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.65,9.2
s1_clean_5obj_s551_20260918_052224_349,s1_clean_5obj_s551,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,321.01,8.89
s1_clean_5obj_s552_20260918_052235_374,s1_clean_5obj_s552,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,321.03,8.6
s1_clean_5obj_s560_20260918_052246_119,s1_clean_5obj_s560,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.71,8.93
s1_clean_5obj_s561_20260918_052257_183,s1_clean_5obj_s561,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.73,8.78
s1_clean_5obj_s562_20260918_052308_384,s1_clean_5obj_s562,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.52,8.9
s1_clean_5obj_s570_20260918_052319_599,s1_clean_5obj_s570,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,324.29,9.15
s1_clean_5obj_s571_20260918_052330_987,s1_clean_5obj_s571,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.6,9.09
s1_clean_5obj_s572_20260918_052342_659,s1_clean_5obj_s572,s1_clean,deepseek,True,failed,False,4,5,False,IK_OR_PATH_UNREACHABLE,1,3,3,638.82,21.65
s1_clean_5obj_s580_20260918_052406_382,s1_clean_5obj_s580,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.72,8.95
s1_clean_5obj_s581_20260918_052417_643,s1_clean_5obj_s581,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.65,9.14
s1_clean_5obj_s582_20260918_052428_923,s1_clean_5obj_s582,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.98,8.72
s1_clean_5obj_s590_20260918_052439_902,s1_clean_5obj_s590,s1_clean,deepseek,True,failed,False,4,5,False,INVALID_PLAN,0,2,2,317.63,10.5
s1_clean_5obj_s591_20260918_052452_816,s1_clean_5obj_s591,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,321.08,8.74
s1_clean_5obj_s592_20260918_052503_825,s1_clean_5obj_s592,s1_clean,deepseek,True,success,True,5,5,True,,0,1,1,320.63,8.95
