episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_clean_3obj_s500_20260918_034252_636,s1_clean_3obj_s500,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.64,3.91
s1_clean_3obj_s501_20260918_034257_239,s1_clean_3obj_s501,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.99,3.6
s1_clean_3obj_s502_20260918_034301_403,s1_clean_3obj_s502,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.72,3.74
s1_clean_3obj_s510_20260918_034305_697,s1_clean_3obj_s510,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.81,3.69
s1_clean_3obj_s511_20260918_034309_931,s1_clean_3obj_s511,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.88,3.81
s1_clean_3obj_s512_20260918_034314_292,s1_clean_3obj_s512,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.08,3.7
s1_clean_3obj_s520_20260918_034318_550,s1_clean_3obj_s520,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.17,3.81
s1_clean_3obj_s521_20260918_034322_911,s1_clean_3obj_s521,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.46,3.64
s1_clean_3obj_s522_20260918_034327_113,s1_clean_3obj_s522,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.96,3.77
s1_clean_3obj_s530_20260918_034331_425,s1_clean_3obj_s530,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.11,3.74
s1_clean_3obj_s531_20260918_034335_717,s1_clean_3obj_s531,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.0,3.69
s1_clean_3obj_s532_20260918_034339_955,s1_clean_3obj_s532,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.21,3.87
s1_clean_3obj_s540_20260918_034344_381,s1_clean_3obj_s540,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.88,3.69
s1_clean_3obj_s541_20260918_034348_623,s1_clean_3obj_s541,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.12,3.74
s1_clean_3obj_s542_20260918_034352_916,s1_clean_3obj_s542,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.08,3.65
s1_clean_3obj_s550_20260918_034357_113,s1_clean_3obj_s550,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.84,3.73
s1_clean_3obj_s551_20260918_034401_389,s1_clean_3obj_s551,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.95,3.78
s1_clean_3obj_s552_20260918_034405_717,s1_clean_3obj_s552,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.1,3.67
s1_clean_3obj_s560_20260918_034409_944,s1_clean_3obj_s560,s1_clean,rule,True,success,True,3,3,True,,0,2,0,192.62,3.67
s1_clean_3obj_s561_20260918_034414_167,s1_clean_3obj_s561,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.95,3.79
s1_clean_3obj_s562_20260918_034418_512,s1_clean_3obj_s562,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.91,3.71
s1_clean_3obj_s570_20260918_034422_771,s1_clean_3obj_s570,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.14,3.75
s1_clean_3obj_s571_20260918_034427_079,s1_clean_3obj_s571,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.72,3.8
s1_clean_3obj_s572_20260918_034431_426,s1_clean_3obj_s572,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.93,3.72
s1_clean_3obj_s580_20260918_034435_700,s1_clean_3obj_s580,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.7,3.69
s1_clean_3obj_s581_20260918_034439_939,s1_clean_3obj_s581,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.92,3.71
s1_clean_3obj_s582_20260918_034444_209,s1_clean_3obj_s582,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.07,3.73
s1_clean_3obj_s590_20260918_034448_504,s1_clean_3obj_s590,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.53,3.72
s1_clean_3obj_s591_20260918_034452_775,s1_clean_3obj_s591,s1_clean,rule,True,success,True,3,3,True,,0,1,0,193.06,3.68
s1_clean_3obj_s592_20260918_034457_001,s1_clean_3obj_s592,s1_clean,rule,True,success,True,3,3,True,,0,1,0,192.78,3.74
s1_clean_4obj_s500_20260918_034501_287,s1_clean_4obj_s500,s1_clean,rule,True,success,True,4,4,True,,0,1,0,257.0,5.78
s1_clean_4obj_s501_20260918_034507_673,s1_clean_4obj_s501,s1_clean,rule,True,success,True,4,4,True,,0,1,0,257.2,5.49
s1_clean_4obj_s502_20260918_034513_740,s1_clean_4obj_s502,s1_clean,rule,True,success,True,4,4,True,,0,1,0,256.65,5.51
s1_clean_4obj_s510_20260918_034519_800,s1_clean_4obj_s510,s1_clean,rule,True,success,True,4,4,True,,0,1,0,256.78,5.43
s1_clean_4obj_s511_20260918_034525_770,s1_clean_4obj_s511,s1_clean,rule,True,success,True,4,4,True,,0,1,0,256.69,7.52
s1_clean_4obj_s512_20260918_034533_840,s1_clean_4obj_s512,s1_clean,rule,True,failed,False,3,4,False,GRASP_MISS,1,2,0,380.42,8.48
s1_clean_4obj_s520_20260918_034542_872,s1_clean_4obj_s520,s1_clean,rule,True,failed,False,3,4,False,IK_OR_PATH_UNREACHABLE,0,3,0,379.41,9.83
s1_clean_4obj_s521_20260918_034553_250,s1_clean_4obj_s521,s1_clean,rule,True,success,True,4,4,True,,0,1,0,256.6,5.57
s1_clean_4obj_s522_20260918_034559_365,s1_clean_4obj_s522,s1_clean,rule,True,success,True,4,4,True,,0,1,0,256.97,5.44
