episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_fault_3obj_s700_20260918_045231_867,s1_fault_3obj_s700,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,62.2,1.37
s1_fault_4obj_s701_20260918_045235_237,s1_fault_4obj_s701,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,61.88,1.47
s1_fault_5obj_s702_20260918_045239_070,s1_fault_5obj_s702,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.2,3.99
s1_fault_3obj_s703_20260918_045245_481,s1_fault_3obj_s703,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,62.2,1.29
s1_fault_4obj_s704_20260918_045248_691,s1_fault_4obj_s704,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,62.21,1.51
s1_fault_5obj_s705_20260918_045252_407,s1_fault_5obj_s705,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.23,1.57
s1_fault_3obj_s706_20260918_045256_294,s1_fault_3obj_s706,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,61.89,1.29
s1_fault_4obj_s707_20260918_045259_725,s1_fault_4obj_s707,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,61.9,1.46
s1_fault_5obj_s708_20260918_045303_532,s1_fault_5obj_s708,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.24,1.58
s1_fault_3obj_s709_20260918_045307_392,s1_fault_3obj_s709,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,62.19,1.25
s1_fault_4obj_s710_20260918_045310_429,s1_fault_4obj_s710,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,62.2,1.42
s1_fault_5obj_s711_20260918_045313_913,s1_fault_5obj_s711,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.05,1.57
s1_fault_3obj_s712_20260918_045317_962,s1_fault_3obj_s712,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,61.96,1.3
s1_fault_4obj_s713_20260918_045321_449,s1_fault_4obj_s713,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,61.9,1.48
s1_fault_5obj_s714_20260918_045324_932,s1_fault_5obj_s714,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.22,1.58
s1_fault_3obj_s715_20260918_045328_898,s1_fault_3obj_s715,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,62.23,1.31
s1_fault_4obj_s716_20260918_045332_376,s1_fault_4obj_s716,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,61.89,1.47
s1_fault_5obj_s717_20260918_045336_048,s1_fault_5obj_s717,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.05,1.54
s1_fault_3obj_s718_20260918_045340_152,s1_fault_3obj_s718,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,62.18,1.31
s1_fault_4obj_s719_20260918_045343_460,s1_fault_4obj_s719,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,61.93,1.46
s1_fault_5obj_s720_20260918_045347_108,s1_fault_5obj_s720,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.24,1.52
s1_fault_3obj_s721_20260918_045350_956,s1_fault_3obj_s721,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,62.04,1.28
s1_fault_4obj_s722_20260918_045353_932,s1_fault_4obj_s722,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,61.92,1.5
s1_fault_5obj_s723_20260918_045357_618,s1_fault_5obj_s723,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.11,1.55
s1_fault_3obj_s724_20260918_045401_670,s1_fault_3obj_s724,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,62.19,1.33
s1_fault_4obj_s725_20260918_045404_947,s1_fault_4obj_s725,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,62.2,1.56
s1_fault_5obj_s726_20260918_045408_819,s1_fault_5obj_s726,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.08,1.55
s1_fault_3obj_s727_20260918_045412_449,s1_fault_3obj_s727,s1_fault,deepseek,False,failed,False,0,3,False,GRASP_MISS,0,1,1,61.9,1.31
s1_fault_4obj_s728_20260918_045415_516,s1_fault_4obj_s728,s1_fault,deepseek,False,failed,False,0,4,False,GRASP_MISS,0,1,1,62.16,1.41
s1_fault_5obj_s729_20260918_045419_278,s1_fault_5obj_s729,s1_fault,deepseek,False,failed,False,0,5,False,GRASP_MISS,0,1,1,62.07,3.77
