episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_fault_3obj_s700_20260918_053722_305,s1_fault_3obj_s700,s1_fault,deepseek,True,success,True,3,3,True,,1,1,1,255.07,5.8
s1_fault_4obj_s701_20260918_053730_172,s1_fault_4obj_s701,s1_fault,deepseek,True,success,True,4,4,True,,1,1,1,318.51,8.16
s1_fault_5obj_s702_20260918_053740_209,s1_fault_5obj_s702,s1_fault,deepseek,True,success,True,5,5,True,,1,1,1,382.97,15.83
s1_fault_3obj_s703_20260918_053758_146,s1_fault_3obj_s703,s1_fault,deepseek,True,success,True,3,3,True,,1,1,1,254.87,5.84
s1_fault_4obj_s704_20260918_053805_732,s1_fault_4obj_s704,s1_fault,deepseek,True,success,True,4,4,True,,1,1,1,318.87,8.22
s1_fault_5obj_s705_20260918_053815_861,s1_fault_5obj_s705,s1_fault,deepseek,True,failed,False,0,5,False,INVALID_PLAN,1,1,1,62.53,1.85
s1_fault_3obj_s706_20260918_053819_900,s1_fault_3obj_s706,s1_fault,deepseek,True,failed,False,0,3,False,ANOMALOUS_CONTACT,2,2,2,190.81,5.67
s1_fault_4obj_s707_20260918_053827_340,s1_fault_4obj_s707,s1_fault,deepseek,True,success,True,4,4,True,,1,1,1,318.42,8.09
s1_fault_5obj_s708_20260918_053837_451,s1_fault_5obj_s708,s1_fault,deepseek,True,failed,False,4,5,False,INVALID_PLAN,1,2,2,380.26,11.78
s1_fault_3obj_s709_20260918_053851_667,s1_fault_3obj_s709,s1_fault,deepseek,True,success,True,3,3,True,,1,1,1,255.93,5.77
s1_fault_4obj_s710_20260918_053859_419,s1_fault_4obj_s710,s1_fault,deepseek,True,success,True,4,4,True,,1,1,1,318.77,7.94
s1_fault_5obj_s711_20260918_053909_317,s1_fault_5obj_s711,s1_fault,deepseek,True,failed,False,0,5,False,GRASP_MISS,1,1,1,123.96,3.15
s1_fault_3obj_s712_20260918_053915_004,s1_fault_3obj_s712,s1_fault,deepseek,True,success,True,3,3,True,,1,1,1,254.2,5.93
s1_fault_4obj_s713_20260918_053922_806,s1_fault_4obj_s713,s1_fault,deepseek,True,success,True,4,4,True,,1,1,1,318.17,8.19
s1_fault_5obj_s714_20260918_053933_299,s1_fault_5obj_s714,s1_fault,deepseek,True,success,True,5,5,True,,1,1,1,383.02,10.39
s1_fault_3obj_s715_20260918_053946_023,s1_fault_3obj_s715,s1_fault,deepseek,True,success,True,3,3,True,,1,1,1,255.09,5.9
s1_fault_4obj_s716_20260918_053953_982,s1_fault_4obj_s716,s1_fault,deepseek,True,success,True,4,4,True,,1,1,1,318.26,8.11
s1_fault_5obj_s717_20260918_054004_433,s1_fault_5obj_s717,s1_fault,deepseek,True,failed,False,0,5,False,GRASP_MISS,1,1,1,124.01,3.16
s1_fault_3obj_s718_20260918_054009_919,s1_fault_3obj_s718,s1_fault,deepseek,True,success,True,3,3,True,,1,1,1,254.7,5.82
s1_fault_4obj_s719_20260918_054017_724,s1_fault_4obj_s719,s1_fault,deepseek,True,failed,False,3,4,False,IK_OR_PATH_UNREACHABLE,1,3,3,759.17,22.11
s1_fault_5obj_s720_20260918_054042_143,s1_fault_5obj_s720,s1_fault,deepseek,True,success,True,5,5,True,,1,1,1,383.03,10.15
s1_fault_3obj_s721_20260918_054055_018,s1_fault_3obj_s721,s1_fault,deepseek,True,success,True,3,3,True,,1,1,1,254.49,5.76
s1_fault_4obj_s722_20260918_054102_768,s1_fault_4obj_s722,s1_fault,deepseek,True,success,True,4,4,True,,1,1,1,318.44,8.21
s1_fault_5obj_s723_20260918_054112_956,s1_fault_5obj_s723,s1_fault,deepseek,True,failed,False,3,5,False,IK_OR_PATH_UNREACHABLE,1,3,3,436.58,14.98
s1_fault_3obj_s724_20260918_054130_244,s1_fault_3obj_s724,s1_fault,deepseek,True,success,True,3,3,True,,1,1,1,255.02,5.79
s1_fault_4obj_s725_20260918_054138_008,s1_fault_4obj_s725,s1_fault,deepseek,True,failed,False,0,4,False,INVALID_PLAN,1,1,1,62.45,1.81
s1_fault_5obj_s726_20260918_054142_078,s1_fault_5obj_s726,s1_fault,deepseek,True,failed,False,0,5,False,GRASP_MISS,1,1,1,124.0,3.22
s1_fault_3obj_s727_20260918_054147_877,s1_fault_3obj_s727,s1_fault,deepseek,True,failed,False,0,3,False,ANOMALOUS_CONTACT,1,3,3,253.76,8.34
s1_fault_4obj_s728_20260918_054158_045,s1_fault_4obj_s728,s1_fault,deepseek,True,success,True,4,4,True,,1,1,1,318.88,8.11
s1_fault_5obj_s729_20260918_054208_313,s1_fault_5obj_s729,s1_fault,deepseek,True,failed,False,4,5,False,IK_OR_PATH_UNREACHABLE,1,3,3,500.6,22.9
