episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_fault_3obj_s700_20260918_044811_667,s1_fault_3obj_s700,s1_fault,rule,False,failed,False,0,3,False,GRASP_MISS,0,1,0,62.2,1.36
s1_fault_4obj_s701_20260918_044813_738,s1_fault_4obj_s701,s1_fault,rule,False,failed,False,0,4,False,GRASP_MISS,0,1,0,61.88,1.46
s1_fault_5obj_s702_20260918_044815_771,s1_fault_5obj_s702,s1_fault,rule,False,failed,False,0,5,False,GRASP_MISS,0,1,0,62.2,3.99
s1_fault_3obj_s703_20260918_044820_331,s1_fault_3obj_s703,s1_fault,rule,False,failed,False,0,3,False,GRASP_MISS,0,1,0,62.2,1.34
s1_fault_4obj_s704_20260918_044822_254,s1_fault_4obj_s704,s1_fault,rule,False,failed,False,0,4,False,GRASP_MISS,0,1,0,62.21,1.52
s1_fault_5obj_s705_20260918_044824_356,s1_fault_5obj_s705,s1_fault,rule,False,failed,False,0,5,False,GRASP_MISS,0,1,0,62.23,1.58
s1_fault_3obj_s706_20260918_044826_515,s1_fault_3obj_s706,s1_fault,rule,False,failed,False,0,3,False,GRASP_MISS,0,1,0,61.89,1.29
s1_fault_4obj_s707_20260918_044828_387,s1_fault_4obj_s707,s1_fault,rule,False,failed,False,0,4,False,GRASP_MISS,0,1,0,61.9,1.48
s1_fault_5obj_s708_20260918_044830_447,s1_fault_5obj_s708,s1_fault,rule,False,failed,False,0,5,False,GRASP_MISS,0,1,0,62.24,1.6
s1_fault_3obj_s709_20260918_044832_620,s1_fault_3obj_s709,s1_fault,rule,False,failed,False,0,3,False,GRASP_MISS,0,1,0,62.19,1.26
s1_fault_4obj_s710_20260918_044834_463,s1_fault_4obj_s710,s1_fault,rule,False,failed,False,0,4,False,GRASP_MISS,0,1,0,62.2,1.43
s1_fault_5obj_s711_20260918_044836_462,s1_fault_5obj_s711,s1_fault,rule,False,failed,False,0,5,False,GRASP_MISS,0,1,0,62.05,1.59
s1_fault_3obj_s712_20260918_044838_623,s1_fault_3obj_s712,s1_fault,rule,False,failed,False,0,3,False,GRASP_MISS,0,1,0,61.96,1.32
s1_fault_4obj_s713_20260918_044840_515,s1_fault_4obj_s713,s1_fault,rule,False,failed,False,0,4,False,GRASP_MISS,0,1,0,61.9,1.51
s1_fault_5obj_s714_20260918_044842_597,s1_fault_5obj_s714,s1_fault,rule,False,failed,False,0,5,False,GRASP_MISS,0,1,0,62.22,1.58
s1_fault_3obj_s715_20260918_044844_755,s1_fault_3obj_s715,s1_fault,rule,False,failed,False,0,3,False,GRASP_MISS,0,1,0,62.23,1.32
s1_fault_4obj_s716_20260918_044846_644,s1_fault_4obj_s716,s1_fault,rule,False,failed,False,0,4,False,GRASP_MISS,0,1,0,61.89,1.51
s1_fault_5obj_s717_20260918_044848_731,s1_fault_5obj_s717,s1_fault,rule,False,failed,False,0,5,False,GRASP_MISS,0,1,0,62.05,1.55
s1_fault_3obj_s718_20260918_044850_865,s1_fault_3obj_s718,s1_fault,rule,False,failed,False,0,3,False,GRASP_MISS,0,1,0,62.18,1.31
s1_fault_4obj_s719_20260918_044852_758,s1_fault_4obj_s719,s1_fault,rule,False,failed,False,0,4,False,GRASP_MISS,0,1,0,61.93,1.47
s1_fault_5obj_s720_20260918_044854_810,s1_fault_5obj_s720,s1_fault,rule,False,failed,False,0,5,False,GRASP_MISS,0,1,0,62.24,1.55
s1_fault_3obj_s721_20260918_044856_951,s1_fault_3obj_s721,s1_fault,rule,False,failed,False,0,3,False,GRASP_MISS,0,1,0,62.04,1.31
