episode_id,task_id,set,planner,recovery,terminal_status,independent_complete_success,objects_completed,objects_total,expected_met,failure_type,recovery_events,replan_events,model_requests,sim_time_s,wall_time_s
s1_fault_3obj_s700_20260918_052515_368,s1_fault_3obj_s700,s1_fault,rule,True,success,True,3,3,True,,1,1,0,255.07,5.79
s1_fault_4obj_s701_20260918_052521_855,s1_fault_4obj_s701,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.51,8.19
s1_fault_5obj_s702_20260918_052530_630,s1_fault_5obj_s702,s1_fault,rule,True,success,True,5,5,True,,1,1,0,382.97,15.78
s1_fault_3obj_s703_20260918_052546_972,s1_fault_3obj_s703,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.87,5.77
s1_fault_4obj_s704_20260918_052553_296,s1_fault_4obj_s704,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.87,8.17
s1_fault_5obj_s705_20260918_052602_023,s1_fault_5obj_s705,s1_fault,rule,True,failed,False,0,5,False,INVALID_PLAN,1,1,0,62.53,1.83
s1_fault_3obj_s706_20260918_052604_419,s1_fault_3obj_s706,s1_fault,rule,True,failed,False,0,3,False,ANOMALOUS_CONTACT,2,2,0,190.81,4.46
s1_fault_4obj_s707_20260918_052609_443,s1_fault_4obj_s707,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.42,8.06
s1_fault_5obj_s708_20260918_052618_077,s1_fault_5obj_s708,s1_fault,rule,True,failed,False,4,5,False,TARGET_NO_FREE_SLOT,1,3,0,381.78,10.84
s1_fault_3obj_s709_20260918_052629_482,s1_fault_3obj_s709,s1_fault,rule,True,success,True,3,3,True,,1,1,0,255.93,5.85
s1_fault_4obj_s710_20260918_052635_910,s1_fault_4obj_s710,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.77,7.97
s1_fault_5obj_s711_20260918_052644_473,s1_fault_5obj_s711,s1_fault,rule,True,failed,False,0,5,False,GRASP_MISS,1,1,0,123.96,3.14
s1_fault_3obj_s712_20260918_052648_186,s1_fault_3obj_s712,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.2,5.94
s1_fault_4obj_s713_20260918_052654_683,s1_fault_4obj_s713,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.17,8.23
s1_fault_5obj_s714_20260918_052703_473,s1_fault_5obj_s714,s1_fault,rule,True,success,True,5,5,True,,1,1,0,383.02,10.44
s1_fault_3obj_s715_20260918_052714_483,s1_fault_3obj_s715,s1_fault,rule,True,success,True,3,3,True,,1,1,0,255.09,5.98
s1_fault_4obj_s716_20260918_052721_046,s1_fault_4obj_s716,s1_fault,rule,True,success,True,4,4,True,,1,1,0,318.26,8.07
s1_fault_5obj_s717_20260918_052729_710,s1_fault_5obj_s717,s1_fault,rule,True,failed,False,0,5,False,GRASP_MISS,1,1,0,124.01,3.14
s1_fault_3obj_s718_20260918_052733_410,s1_fault_3obj_s718,s1_fault,rule,True,success,True,3,3,True,,1,1,0,254.7,5.79
s1_fault_4obj_s719_20260918_052739_762,s1_fault_4obj_s719,s1_fault,rule,True,failed,False,3,4,False,IK_OR_PATH_UNREACHABLE,1,3,0,441.48,11.03
